,agent,avg_reward,std_reward,step,test_id
0,iql,11.0,0.0,11,-1
1,iql,19.0,0.0,30,-1
2,iql,15.0,0.0,45,-1
3,iql,22.0,0.0,67,-1
4,iql,22.0,0.0,89,-1
5,iql,16.0,0.0,105,-1
6,iql,46.0,0.0,151,-1
7,iql,11.0,0.0,162,-1
8,iql,20.0,0.0,182,-1
9,iql,18.0,0.0,200,-1
10,iql,19.0,0.0,219,-1
11,iql,13.0,0.0,232,-1
12,iql,13.0,0.0,245,-1
13,iql,13.0,0.0,258,-1
14,iql,12.0,0.0,270,-1
15,iql,18.0,0.0,288,-1
16,iql,17.0,0.0,305,-1
17,iql,14.0,0.0,319,-1
18,iql,15.0,0.0,334,-1
19,iql,37.0,0.0,371,-1
20,iql,28.0,0.0,399,-1
21,iql,11.0,0.0,410,-1
22,iql,29.0,0.0,439,-1
23,iql,44.0,0.0,483,-1
24,iql,25.0,0.0,508,-1
25,iql,31.0,0.0,539,-1
26,iql,33.0,0.0,572,-1
27,iql,18.0,0.0,590,-1
28,iql,10.0,0.0,600,-1
29,iql,19.0,0.0,619,-1
30,iql,20.0,0.0,639,-1
31,iql,13.0,0.0,652,-1
32,iql,11.0,0.0,663,-1
33,iql,16.0,0.0,679,-1
34,iql,25.0,0.0,704,-1
35,iql,12.0,0.0,716,-1
36,iql,17.0,0.0,733,-1
37,iql,27.0,0.0,760,-1
38,iql,19.0,0.0,779,-1
39,iql,18.0,0.0,797,-1
40,iql,10.0,0.0,807,-1
41,iql,10.0,0.0,817,-1
42,iql,14.0,0.0,831,-1
43,iql,64.0,0.0,895,-1
44,iql,11.0,0.0,906,-1
45,iql,42.0,0.0,948,-1
46,iql,23.0,0.0,971,-1
47,iql,15.0,0.0,986,-1
48,iql,16.0,0.0,1002,-1
49,iql,11.0,0.0,1013,-1
50,iql,13.0,0.0,1026,-1
51,iql,24.0,0.0,1050,-1
52,iql,13.0,0.0,1063,-1
53,iql,13.0,0.0,1076,-1
54,iql,52.0,0.0,1128,-1
55,iql,19.0,0.0,1147,-1
56,iql,12.0,0.0,1159,-1
57,iql,23.0,0.0,1182,-1
58,iql,16.0,0.0,1198,-1
59,iql,39.0,0.0,1237,-1
60,iql,38.0,0.0,1275,-1
61,iql,21.0,0.0,1296,-1
62,iql,12.0,0.0,1308,-1
63,iql,10.0,0.0,1318,-1
64,iql,13.0,0.0,1331,-1
65,iql,13.0,0.0,1344,-1
66,iql,12.0,0.0,1356,-1
67,iql,12.0,0.0,1368,-1
68,iql,19.0,0.0,1387,-1
69,iql,15.0,0.0,1402,-1
70,iql,15.0,0.0,1417,-1
71,iql,18.0,0.0,1435,-1
72,iql,44.0,0.0,1479,-1
73,iql,27.0,0.0,1506,-1
74,iql,23.0,0.0,1529,-1
75,iql,11.0,0.0,1540,-1
76,iql,33.0,0.0,1573,-1
77,iql,44.0,0.0,1617,-1
78,iql,13.0,0.0,1630,-1
79,iql,24.0,0.0,1654,-1
80,iql,12.0,0.0,1666,-1
81,iql,15.0,0.0,1681,-1
82,iql,15.0,0.0,1696,-1
83,iql,11.0,0.0,1707,-1
84,iql,18.0,0.0,1725,-1
85,iql,14.0,0.0,1739,-1
86,iql,17.0,0.0,1756,-1
87,iql,25.0,0.0,1781,-1
88,iql,10.0,0.0,1791,-1
89,iql,32.0,0.0,1823,-1
90,iql,32.0,0.0,1855,-1
91,iql,11.0,0.0,1866,-1
92,iql,17.0,0.0,1883,-1
93,iql,33.0,0.0,1916,-1
94,iql,14.0,0.0,1930,-1
95,iql,32.0,0.0,1962,-1
96,iql,21.0,0.0,1983,-1
97,iql,16.0,0.0,1999,-1
98,iql,12.0,0.0,2011,-1
99,iql,30.0,0.0,2041,-1
100,iql,43.0,0.0,2084,-1
101,iql,13.0,0.0,2097,-1
102,iql,17.0,0.0,2114,-1
103,iql,16.0,0.0,2130,-1
104,iql,26.0,0.0,2156,-1
105,iql,23.0,0.0,2179,-1
106,iql,14.0,0.0,2193,-1
107,iql,11.0,0.0,2204,-1
108,iql,19.0,0.0,2223,-1
109,iql,12.0,0.0,2235,-1
110,iql,15.0,0.0,2250,-1
111,iql,11.0,0.0,2261,-1
112,iql,28.0,0.0,2289,-1
113,iql,37.0,0.0,2326,-1
114,iql,38.0,0.0,2364,-1
115,iql,20.0,0.0,2384,-1
116,iql,14.0,0.0,2398,-1
117,iql,15.0,0.0,2413,-1
118,iql,15.0,0.0,2428,-1
119,iql,11.0,0.0,2439,-1
120,iql,34.0,0.0,2473,-1
121,iql,16.0,0.0,2489,-1
122,iql,14.0,0.0,2503,-1
123,iql,33.0,0.0,2536,-1
124,iql,11.0,0.0,2547,-1
125,iql,16.0,0.0,2563,-1
126,iql,20.0,0.0,2583,-1
127,iql,27.0,0.0,2610,-1
128,iql,44.0,0.0,2654,-1
129,iql,12.0,0.0,2666,-1
130,iql,18.0,0.0,2684,-1
131,iql,27.0,0.0,2711,-1
132,iql,16.0,0.0,2727,-1
133,iql,39.0,0.0,2766,-1
134,iql,26.0,0.0,2792,-1
135,iql,14.0,0.0,2806,-1
136,iql,15.0,0.0,2821,-1
137,iql,35.5,28.5,2892,-1
138,iql,14.0,0.0,2906,-1
139,iql,25.0,0.0,2931,-1
140,iql,16.0,0.0,2947,-1
141,iql,46.0,0.0,2993,-1
142,iql,29.0,0.0,3022,-1
143,iql,17.0,0.0,3039,-1
144,iql,13.0,0.0,3052,-1
145,iql,45.0,0.0,3097,-1
146,iql,40.0,0.0,3137,-1
147,iql,36.0,0.0,3173,-1
148,iql,12.0,0.0,3185,-1
149,iql,35.0,0.0,3220,-1
150,iql,21.0,0.0,3241,-1
151,iql,60.0,0.0,3301,-1
152,iql,24.0,0.0,3325,-1
153,iql,26.0,0.0,3351,-1
154,iql,14.0,0.0,3365,-1
155,iql,18.0,0.0,3383,-1
156,iql,14.0,0.0,3397,-1
157,iql,15.0,0.0,3412,-1
158,iql,33.0,0.0,3445,-1
159,iql,18.0,0.0,3463,-1
160,iql,28.0,0.0,3491,-1
161,iql,15.0,0.0,3506,-1
162,iql,16.0,0.0,3522,-1
163,iql,18.0,0.0,3540,-1
164,iql,12.0,0.0,3552,-1
165,iql,15.0,0.0,3567,-1
166,iql,25.0,0.0,3592,-1
167,iql,22.0,0.0,3614,-1
168,iql,59.0,0.0,3673,-1
169,iql,14.0,0.0,3687,-1
170,iql,19.0,0.0,3706,-1
171,iql,16.0,0.0,3722,-1
172,iql,36.0,0.0,3758,-1
173,iql,34.0,0.0,3792,-1
174,iql,33.0,0.0,3825,-1
175,iql,8.0,0.0,3833,-1
176,iql,57.0,0.0,3890,-1
177,iql,18.0,0.0,3908,-1
178,iql,13.0,0.0,3921,-1
179,iql,21.0,0.0,3942,-1
180,iql,30.0,0.0,3972,-1
181,iql,9.0,0.0,3981,-1
182,iql,26.0,0.0,4007,-1
183,iql,29.0,0.0,4036,-1
184,iql,16.0,0.0,4052,-1
185,iql,13.0,0.0,4065,-1
186,iql,18.0,0.0,4083,-1
187,iql,11.0,0.0,4094,-1
188,iql,11.0,0.0,4105,-1
189,iql,12.0,0.0,4117,-1
190,iql,22.0,0.0,4139,-1
191,iql,59.0,0.0,4198,-1
192,iql,13.0,0.0,4211,-1
193,iql,16.0,0.0,4227,-1
194,iql,32.0,0.0,4259,-1
195,iql,13.0,0.0,4272,-1
196,iql,38.0,0.0,4310,-1
197,iql,12.0,0.0,4322,-1
198,iql,12.0,0.0,4334,-1
199,iql,21.0,0.0,4355,-1
200,iql,10.0,0.0,4365,-1
201,iql,13.0,0.0,4378,-1
202,iql,31.0,0.0,4409,-1
203,iql,13.0,0.0,4422,-1
